,lib_attacker,Nb_attack
0,w4l3xzy3,8925
1,iskorpitx,4577
2,bd grey hat hackers,3777
3,delirium,3283
4,fatal error,3111
5,red eye,2882
6,1923turk,2700
7,m0âµ34d,1910
8,h4x0r hussy,1589
9,s:6t_i-#07,1567
10,shadow boys,1529
11,waledac,1528
12,silver lords,1518
13,bys,1503
14,federal-atack.org,1492
15,sarbot511,1455
16,dr.m1st3r,1323
17,crime perfect,1296
18,hexb00t3r,1267
19,rya,1226
20,linuxploit_crew,1166
21,ir4dex,1156
22,gabby,1155
23,steel,1153
24,bhs,1080
25,arfaoui firas,1066
26,cyb3rking,1065
27,bloodbr,1034
28,ma3str0-dz,989
29,index php,977
30,virtual hell,939
31,poizonb0x,921
32,mr.kro0oz.305,912
33,hmei7,883
34,xfree team,875
35,real_karizma,866
36,gb,864
37,affix,861
38,hax0rs lab,860
39,perfect.br,844
40,edzw4ss!m,832
41,ashiyane digital security team,826
42,nhc,809
43,the_warri0r,803
44,islamic ghosts team,795
45,bulkahackers,791
46,pinchadores web,790
47,command tribulation,783
48,metalsofthackersteam,775
49,yarali_1985,707
50,thewayend,695
51,heart_hunter,681
52,islam4ever,673
53,x,657
54,pit10,647
55,r00t-x,638
56,s4s-t3rr0r!st,624
57,data ir security group,600
58,hi-tech hate,599
59,v4 team,599
60,team hitman hacker,594
61,prime suspectz,587
62,technical,585
63,x0x0,583
64,rootboy,581
65,m@trix,566
66,persian-hack ir,560
67,d3b~x,529
68,pouya_s3rver,527
69,extrance digital security team,526
70,cellatreis,525
71,ultimatepower,524
72,persian boys hacking team,522
73,ion,513
74,r00t_system,488
75,buttp!ratez,487
76,cyb3r attack,485
77,latinhackteam,482
78,hayal-et-06,478
79,crazy hacker,477
80,innocent boys,472
81,el_muhammed,470
82,swan,465
83,bloodmask,459
84,woh,456
85,mha,453
86,endiabrad0s,451
87,dz-qth,442
88,ø¹?? ø­ø§?ø¸ ø§?ø§ø³ø,438
89,spydy,431
90,kamtiez,425
91,pops,420
92,ihc and #cracxer,418
93,el batar,405
94,thezero,395
95,cybers satans,390
96,nima.perl,388
97,hacker_20,387
98,3xp1r3,385
99,jack riderr,384
100,otofaresi,382
101,darkcode,374
102,data cha0s,367
103,safi-team,357
104,techteam,355
105,bylenis,355
106,mc_intikam,354
107,mr-mn7os,354
108,rezk2ll,353
109,coupdegrace,344
110,k1ngnca,340
111,trippin smurfs,337
112,wfd,334
113,palakololo,333
114,sa^dev!l,331
115,silentassault,331
116,hackweiser,324
117,masterhack,323
118,str4what-luffy,323
119,p()w,323
120,s4t4n1c_s0uls,321
121,nitr0x,317
122,cda,317
123,redspy,316
124,kwgdeface,314
125,infektion group,312
126,thehacker,307
127,crime lordz,306
128,isotk,305
129,mafia hacking team,297
130,team rabat-sale,289
131,quit crew,285
132,woot-project,283
133,collaps3 crew,283
134,coldhackers,283
135,emp3r0r team,282
136,panda dot id,280
137,crazyhacker16,277
138,aic,274
139,highlander,274
140,katrina iranian security team,273
141,cr1m3 0rg4n1z4d0,273
142,hmb,268
143,digital wrapperz,267
144,romantic,267
145,df brazil hack team,265
146,ahu,265
147,grub_err0r,265
148,ath,264
149,by_agresif,263
150,deathsystem,263
151,mr.x,263
152,anonghost,262
153,black_raptor,261
154,mns,259
155,fux0r inc,254
156,ra3ch,251
157,sses,247
158,ghost61,247
159,nu|l,245
160,timeout,243
161,turkteam.org,242
162,limit.br,241
163,simiens,239
164,demonios,234
165,cobra_21,233
166,trickster,233
167,serseridelikan,230
168,hacked by libero,226
169,heykolog,224
170,fatal attack,224
171,b0zkurt,224
172,ruffles,223
173,evil angelica,222
174,f4kelive,222
175,hightech,222
176,bi0s,221
177,wildclique,217
178,team r00t,215
179,mih,214
180,dogm4,214
181,c0d3rz,213
182,spabaton,212
183,gforce,210
184,xugurx,209
185,kab[u]ss,208
186,jpi team,207
187,zorrokin,207
188,1cyber team (iptdc,205
189,tty0,203
190,tecklife,200
191,xst,200
192,guard_fb,200
193,jje incovers,196
194,eymz,195
195,saldiray&amp;pc_man,194
196,plexinium team,193
197,sultanhaikal,191
198,tonikgin,191
199,vezir.04,190
200,azrael666,190
201,dr.mwns,189
202,uname-a,189
203,supreme entity,183
204,saudi injector,179
205,viendrons,179
206,c0br4s,177
207,alevirusscs,176
208,dowoh,175
209,jnb,175
210,security fail,173
211,iranian_dark_coders_team,172
212,alfonso,172
213,draex,171
214,cyber_945,170
215,acid-warz,170
216,linuxlover,170
217,virtual hacker,170
218,è¶?å???»å?½å®°ç,169
219,bd,168
220,spykids,168
221,professor,168
222,pr0phet,165
223,3n_byt3,165
224,by_silo,164
225,c00kies,162
226,twi,162
227,zerobyte,161
228,usdl,160
229,subex,160
230,arhack-team,160
231,umca,158
232,angel25dz,157
233,error 7rb,157
234,iran security team,156
235,antigov,156
236,d3c0d1f1c4d0r3s,155
237,ksa team,154
238,fbh,153
239,hxrofo,152
240,k-e-h,152
241,uah-crew,152
242,web pirates,152
243,intruder,151
244,dr.militan-53,150
245,toxic dz,150
246,sniper.t,149
247,nighto mearo,148
248,bug-travel,148
249,s1r_z3r0,147
250,th3_h4ttab,147
251,muhammad bilal,145
252,m4g1233n,144
253,net.defacer,141
254,tzunami,141
255,metropolis,140
256,lo$er.0,140
257,al-beyazgrup,140
258,ayyildiz,139
259,by_musti,138
260,t0r3x,137
261,sanfour25,136
262,ashiyane digit,136
263,int3rc3pt0r,134
264,devilc0de.com,133
265,cybersecuritysoldier.org,132
266,infernoz,132
267,uphik007,132
268,vprotest,131
269,sharkmisdeed,130
270,hacked by n2n,130
271,4rm1t4,130
272,dr. gonzo &amp; raoul duke,129
273,h.u.c,129
274,psychophobia,129
275,rb team,128
276,r1p,128
277,silentp0is0n,127
278,h131,127
279,hacker alking,127
280,hacker.tr,127
281,fail shell,126
282,byege,125
283,seytanauydum,125
284,r4st4_r00t,125
285,sa3d hack3d,125
286,sp@rk,122
287,the undertaker,122
288,gomina7,122
289,lulz53c,121
290,hfury,120
291,crackers_child,119
292,dr-silent,116
293,dbuzz,116
294,evil-net,116
295,team black dream,114
296,vyc0d,114
297,team system dz,113
298,goguryeo &amp; zeysus,113
299,jh-team,112
300,tnt,112
301,onr,112
302,security corp,111
303,rbg homs,111
304,chopp3r,111
305,kn0w,110
306,fkc hommies,110
307,spider,110
308,spy[d]ir,109
309,xbo0ter,109
310,best cracker,109
311,agressive boys,108
312,crime boys,108
313,maniak k4sur,107
314,s0l4ris,107
315,pimpshiz,105
316,heuristic,105
317,dr.silnt hill,105
318,0zie,104
319,p@â£t_b@y,104
320,devilsoul,103
321,jamaycka,103
322,king9x,102
323,anti security hackers,102
324,bd_r00t,101
325,lt;yber-gh0st,101
326,furia.br,100
327,obito_reborn,100
328,surabayagetar,100
329,theli,100
330,zorlu,99
331,silent,99
332,kml,99
333,beb0x,99
334,amir.av727,99
335,blackc0der,98
336,cybercrime,98
337,khg,98
338,xzadx,98
339,virtual lords,98
340,teamkral.net,97
341,big-hacker,97
342,sniper code,96
343,suskun,96
344,security .net information,94
345,wp-team,94
346,dhc,94
347,jingklong,94
348,khalidmoro,93
349,dr.shano,93
350,bbunny,93
351,x_federal,93
352,tryag al arab,92
353,staticx,92
354,4ntiw4r,92
355,criminals,92
356,fallag_gassrini,92
357,j0rd4n14n.r1z,91
358,katak,90
359,exone,90
360,b3yazhacker,90
361,over_g,90
362,muslim cyber army,90
363,volcanohacker,89
364,dr.dang3r,89
365,el-zeka,89
366,very secret,88
367,r00t,87
368,kernel_attack,87
369,knight of hell,86
370,capoo_tunisianoo,86
371,alph4num3ric,86
372,p0rt,86
373,sidewinder,85
374,insanity zine c0rp,85
375,black angels,84
376,securitybus,84
377,rooting sabotage forced,84
378,xmind,84
379,xfaulz,83
380,nmdumut,83
381,philer,83
382,arabian-fighterz,83
383,kan,83
384,medanhacking,83
385,l4m4,83
386,far[3]as,83
387,magelang6etar,82
388,mr.moein,82
389,nukkets,81
390,md. l07hdh,81
391,crashblack,81
392,cyberlord,81
393,dhe,81
394,dd3str0y3r,80
395,cl4ncy,80
396,anjos do caos,80
397,m4f14,80
398,p4tr0n,80
399,stitch,80
400,xtech inc,80
401,thebugz,80
402,p@â£t_b@y and s3cure,79
403,nobodycoder,79
404,n00k c0rp,79
405,neon-lenz,79
406,ahs-crew,79
407,klod fajraoui,78
408,misafir,78
409,xjadex,77
410,mafia boys crew,77
411,fatin404,77
412,hank sandlep,77
413,8hr hacker,77
414,m4rf3l,76
415,troubleshooter,76
416,mr.ajram,76
417,rsh,76
418,real hunter,75
419,red-d3v1l,75
420,xb0x,75
421,mdx,75
422,alpturktegin,75
423,deckasoftâ,75
424,crookies,74
425,super2li,74
426,revolution hacker,73
427,s3c,73
428,cicciolosi,73
429,emc2h,73
430,extwo.*x2,72
431,hacker squad,72
432,chinahacker,72
433,antichrist,72
434,acid falz,71
435,c4patr0n,71
436,rooterror,71
437,scriptx,71
438,sanal-gerilim.com,71
439,sanalyargic,71
440,moroccan-alien,71
441,tanpa bicara,71
442,veneno,70
443,united bangladeshi hackers,70
444,saudi virus team,70
445,shahin.sh619,70
446,elemento_pcx,70
447,arhabi hackers,69
448,switch tr,69
449,redhack,69
450,nabilaholic404,69
451,nr_elove,69
452,outlaw,69
453,nixgr0up,68
454,nyu,68
455,virus_hima,68
456,ab0 m0h4mm3d,68
457,bangladesh cyber army,68
458,abu saeed,67
459,alex_owners,67
460,cypertron,67
461,kripteks,67
462,indonesian defacer newbie,66
463,harun787878,66
464,conclavecrew,66
465,cmd,66
466,mr.www,66
467,red_sign,66
468,syskc0,66
469,sonvurus.org,66
470,serheld4n,66
471,stexhacker,65
472,saeed0511,65
473,by-taka,65
474,mcm4nus,65
475,khrust,64
476,evil-jo,64
477,azerbaijan attacker,64
478,respectm3,64
479,sintek,64
480,xassiz,64
481,xoomxoom,64
482,xzard,63
483,yogyacarderlink,63
484,trex,63
485,security_511,63
486,reflux,63
487,nasah,63
488,darkwar2,63
489,dkd,63
490,fuby,63
491,m0r0n and nightman,63
492,m0sad,63
493,hacked by rofilitrix el,62
494,dr-taigar,62
495,dumansal,62
496,cwd@rbe,62
497,qtr linux,62
498,ratos da net,62
499,wolf-sy-hacke,62
500,talel-hacker,61
501,c37hun,61
502,545k,61
503,hiddenline,61
504,makkawi,60
505,kurdish hackers team,60
506,lasttouch,60
507,dr.sha6h,60
508,red virus,60
509,nasro,60
510,newbies,59
511,n0m0r3,59
512,mr.aboali,59
513,cyberbellona,59
514,islamicihad,59
515,injection oveckock,58
516,kakos_belas,58
517,gang hackers arabs,58
518,a1ts,58
519,aniclator,58
520,badsector,58
521,rootsecurity,58
522,sexavet,58
523,switchx,58
524,spyhackerz.com,58
525,wasa5a/team,58
526,virtual  hell,57
527,t1ku5rumput,57
528,metrp0l,57
529,b4d w0rms,57
530,electronicsouls,57
531,hfs,57
532,erfan nikotin,56
533,antihackerlink,56
534,north storm,56
535,r00t3rs,56
536,toalee_berk,56
537,wap,56
538,theevilest,55
539,r00x,55
540,syrian anonymous,55
541,insecureil,55
542,l3on,54
543,black.spook,54
544,by_suskun,54
545,rootworm,54
546,new-x and #hapus dal.net,54
547,the-ajan,54
548,white hat,53
549,nfc,53
550,sn!per-baghdad,53
551,d-force,53
552,bosen,53
553,jackal,53
554,error911,53
555,gix.d3vil,53
556,lost souls,52
557,beyaz_hacker,52
558,akincilar,52
559,d.h.t,52
560,by-nasah,52
561,sadhacker,52
562,sala 14,52
563,naturon,52
564,muj4z3f,52
565,mr.aryeakoplaxz404,51
566,qahtan-sniper,51
567,syrian ghost,51
568,team mosta,51
569,code-newbie,51
570,malcom-x,51
571,king420,51
572,hidden wrestle,51
573,hidden pain,50
574,deathsymb0l,50
575,blueskrinz,50
576,busindre,49
577,dr.tsaheel,49
578,crazy_hacker,49
579,hepatit,49
580,team hitman ha,49
581,wesker hacker,49
582,shi5-alhacker,49
583,mr.sohayl,48
584,xenon404,48
585,team special agent,48
586,lionel majdii,48
587,d.o.m,48
588,bsc,47
589,mauzzz[br,47
590,jinja,47
591,fl1t0x_dz,47
592,the key40,47
593,n3t1k3rt1,47
594,phc,47
595,ottoman-empire,47
596,novatox klan,46
597,parsiland security team,46
598,sultan brain,46
599,s0l4r1s,46
600,ryden,46
601,tundergun,46
602,bitire215,46
