,lib_organisation,Nb_attack
0,209,771
1,mail,542
2,forum,324
3,64,278
4,pastakektarifi,238
5,200,218
6,blog,214
7,www2,158
8,216,133
9,claireantony,123
10,66,122
11,test,114
12,65,101
13,shop,95
14,forums,94
15,webmail,91
16,web,89
17,ns,89
18,comune,77
19,ns1,76
20,linux,67
21,63,65
22,m,64
23,bbs,63
24,support,58
25,dev,57
26,portal,54
27,news,52
28,admin,50
29,dns,50
30,212,49
31,202,48
32,demo,48
33,secure,47
34,server,46
35,ns2,45
36,beta,45
37,195,43
38,intranet,42
39,home,42
40,ftp,41
41,chat,39
42,ci,38
43,160,38
44,vb,37
45,correo,37
46,www1,36
47,217,36
48,203,35
49,new,35
50,cts,35
51,cms,34
52,library,33
53,en,32
54,lib,32
55,194,31
56,www3,30
57,co,30
58,my,30
59,old,29
60,microsoft,29
61,61,29
62,info,29
63,210,28
64,WWW,26
65,wap,26
66,nuke,25
67,pop,25
68,193,25
69,media,25
70,google,24
71,board,24
72,dvoma,24
73,62,24
74,ads,24
75,blogs,23
76,asp,23
77,data,23
78,host,23
79,biopest,22
80,cs,22
81,store,22
82,proxy,22
83,billing,22
84,honda,21
85,crm,21
86,208,21
87,cpga,21
88,sp,20
89,vipfe,19
90,student,19
91,sms,19
92,stats,18
93,law,18
94,canon,18
95,edu,18
96,alumni,18
97,206,18
98,213,18
99,nic,17
100,security,17
101,community,17
102,business,17
103,members,17
104,cts2,17
105,download,17
106,148,17
107,up,17
108,video,17
109,gallery,17
110,search,17
111,joomla,17
112,online,17
113,sony,16
114,www4,16
115,it,16
116,email,16
117,claudiodiasdeabreu,16
118,apps,16
119,prueba,16
120,radio,16
121,tienda,15
122,foro,15
123,tarocchi,15
124,site,15
125,ww2,15
126,movil,15
127,english,15
128,web1,15
129,eng,14
130,218,14
131,mobile,14
132,cartomanzia,14
133,server1,14
134,audi,14
135,smtp,14
136,80,14
137,ford,13
138,intra,13
139,dns1,13
140,web2,13
141,math,13
142,office,13
143,207,13
144,city,13
145,cgi,13
146,creative,13
147,com,13
148,intelsakti,13
149,toshiba,13
150,games,13
151,design,13
152,borland,13
153,luizfernandogoncalvescosta,13
154,renault,13
155,ead,13
156,saude,13
157,familycomputerworkshop,13
158,wp,12
159,tech,12
160,sac,12
161,commerce,12
162,v2,12
163,kia,12
164,php,12
165,128,12
166,biblioteca,12
167,ac,12
168,acer,12
169,research,12
170,stat,12
171,music,12
172,orion,12
173,bmw,12
174,epson,12
175,mfa,12
176,un,12
177,clients,12
178,police,12
179,moodle,12
180,ad,12
181,main,11
182,155,11
183,ebay,11
184,projects,11
185,art,11
186,cce,11
187,fujitsu,11
188,code,11
189,aiwa,11
190,elearning,11
191,12,11
192,tv,11
193,samsung,11
194,arabic,11
195,service,11
196,nec,11
197,cis,11
198,upload,11
199,de,11
200,image,11
201,newsletter,11
202,hosting,11
203,login,11
204,health,10
205,ventas,10
206,chris,10
207,mcdonalds,10
208,images,10
209,bkd,10
210,a,10
211,valesamba,10
212,1001studio,10
213,unix,10
214,ce,10
215,helpdesk,10
216,pruebas,10
217,toyota,10
218,ericsson,10
219,ww,10
220,youth,10
221,showercurtainhookssite,10
222,alpha,10
223,free,10
224,140,10
225,db,10
226,unicef,10
227,bb,10
228,ar,10
229,mazda,10
230,soporte,10
231,arch,10
232,yahoo,9
233,dot,9
234,its,9
235,foto,9
236,ap,9
237,downloads,9
238,go,9
239,iran,9
240,zeus,9
241,sport,9
242,novoglan,9
243,gov,9
244,live,9
245,sun,9
246,campus,9
247,168,9
248,navy,9
249,clientes,9
250,member,9
251,dl,9
252,agr,9
253,unesco,9
254,solucionaventas,9
255,jobs,9
256,directory,9
257,mp3,9
258,us,9
259,central,9
260,211,9
261,fujifilm,9
262,photo,9
263,cisco,9
264,staging,9
265,luizfernandogoncalvesdacosta,9
266,pc,9
267,abc,9
268,venus,9
269,server2,9
270,163,9
271,c-cc,9
272,whois,9
273,wizard,9
274,album,9
275,volkswagen,9
276,hotel,8
277,telecom,8
278,sc,8
279,130,8
280,access,8
281,testing,8
282,extranet,8
283,shell,8
284,ms1,8
285,mars,8
286,tj,8
287,sanyo,8
288,net,8
289,index,8
290,project,8
291,education,8
292,lloydsharescam,8
293,files,8
294,monitor,8
295,bappeda,8
296,town,8
297,school,8
298,gw,8
299,aldaevents,8
300,in,8
301,24mall,8
302,matrix,8
303,i,8
304,help,8
305,chem,8
306,aa,8
307,finance,8
308,travel,8
309,ecommerce,8
310,alfa,8
311,staff,8
312,ades,8
313,ps,8
314,cfc,8
315,infomodem,8
316,banners,8
317,exchange,8
318,ami,8
319,bissaccodesign,8
320,chevrolet,8
321,piwik,8
322,mtech,8
323,pro,8
324,parliament,8
325,energy,8
326,bdsl,8
327,kenwood,8
328,internet,8
329,mysql,7
330,gestion,7
331,lists,7
332,sharp,7
333,hack,7
334,archive,7
335,pm,7
336,turismo,7
337,ccs,7
338,ms,7
339,erd,7
340,hackers,7
341,hr,7
342,fox,7
343,mis,7
344,niactive,7
345,food,7
346,mrtg,7
347,atlas,7
348,Oracle,7
349,geo,7
350,etherjazz,7
351,casa,7
352,198,7
353,24,7
354,user,7
355,mailhost,7
356,sec,7
357,acs,7
358,database,7
359,strato-faq,7
360,webdesign,7
361,teszt,7
362,compaq,7
363,supercias,7
364,adm,7
365,civil,7
366,hermes,7
367,w3,7
368,nike,7
369,hsd,7
370,launchyourbusiness,7
371,panasonic,7
372,martynravenhill,7
373,nokia,7
374,cca,7
375,maps,7
376,lloydsharecomplaints,7
377,129,7
378,apache,7
379,ns3,7
380,listserv,7
381,book,7
382,nt,7
383,api,7
384,digitalcorp,7
385,family,7
386,ccc,7
387,dns2,7
388,dcaauh,7
389,cyber,7
390,vod,7
391,arc,7
392,game,7
393,learning,7
394,software,7
395,ideasangels,7
396,bhost,7
397,iseags,7
398,chifeng,7
399,h-cc,6
400,snoopy,6
401,sefaz,6
402,customer,6
403,jupiter,6
404,dnn,6
405,compostella,6
406,is,6
407,inf,6
408,frontpage,6
409,mc,6
410,infotech,6
411,luxxuryleisurecollection,6
412,med,6
413,cn,6
414,idc,6
415,dell,6
416,voxfeel,6
417,signatureintegratedtravelsystemscomplaints,6
418,novo,6
419,tucows,6
420,redbullbedroomjam,6
421,zerep,6
422,fc,6
423,e,6
424,nintendo,6
425,soft,6
426,state,6
427,newton,6
428,play,6
429,mp,6
430,profil-du-futur,6
431,wordpress,6
432,cem,6
433,sei,6
434,lab,6
435,at,6
436,sql,6
437,ec,6
438,bc,6
439,s1,6
440,list,6
441,hso,6
442,sales,6
443,hpc,6
444,ace,6
445,core,6
446,sos,6
447,webhost,6
448,smsc,6
449,hp,6
450,job,6
451,athena,6
452,compras,6
453,asus,6
