,Pays,Nb_attack
0,united states,34734
1,brazil,8586
2,united kingdom,6128
3,germany,4436
4,china,2770
5,south korea,2702
6,mexico,2524
7,taiwan,2518
8,france,2220
9,poland,1768
10,japan,1746
11,netherlands,1644
12,canada,1430
13,hong kong,1286
14,australia,1252
15,slovenia,1000
16,norway,948
17,argentina,742
18,singapore,662
19,india,638
20,israel,584
21,belgium,570
22,austria,548
23,thailand,506
24,spain,464
25,chile,430
26,turkey,390
27,czech republic,382
28,portugal,316
29,colombia,290
30,indonesia,290
31,bolivia,232
32,philippines,220
33,egypt,218
34,pakistan,146
35,venezuela,104
36,ireland,102
37,italy,72
38,ukraine,70
39,sweden,44
40,korea,44
41,armenia,44
42,iceland,40
43,bulgaria,36
44,cyprus,28
45,switzerland,24
46,bermuda,22
47,finland,20
48,vietnam,18
49,mongolia,10
50,sri lanka,8
51,denmark,8
52,,6
53,greece,6
54,russia,6
55,republic of macedonia,4
56,romania,4
57,peru,4
58,moldova,4
59,malaysia,4
60,malta,4
61,serbia,4
62,south africa,4
63,united arab emirates,4
64,bangladesh,4
65,albania,2
66,estonia,2
67,kuwait,2
68,lebanon,2
69,oman,2
70,republic of china,2
71,samoa,2
