,Pays,Nb_attack_subie,Nb_attack_emmise
0,,,
1,argentina,,1323.0
2,armenia,,536.0
3,australia,304.0,139.0
4,austria,117.0,
5,bangladesh,,144.0
6,belgium,1841.0,832.0
7,bermuda,,419.0
8,bolivia,,89.0
9,brazil,,1092.0
10,bulgaria,,165.0
11,canada,289.0,593.0
12,chile,,599.0
13,china,137.0,52725.0
14,colombia,,2219.0
15,cyprus,725.0,429.0
16,czech republic,,962.0
17,egypt,,291.0
18,france,4022.0,2314.0
19,germany,581.0,1968.0
20,hong kong,1143.0,1345.0
21,iceland,146.0,
22,india,,3183.0
23,indonesia,,536.0
24,ireland,658.0,547.0
25,israel,,326.0
26,italy,2866.0,1139.0
27,japan,,1736.0
28,mexico,135.0,1203.0
29,moldova,,962.0
30,mongolia,,381.0
31,netherlands,,7854.0
32,new zealand,,285.0
33,norway,1828.0,
34,pakistan,,1967.0
35,philippines,1940.0,1186.0
36,poland,144.0,1522.0
37,portugal,487.0,424.0
38,roumania,291.0,1600.0
39,russia,1194.0,1238.0
40,saudi arabia,1499.0,1105.0
41,singapore,2702.0,
42,slovenia,,89.0
43,south korea,,3334.0
44,spain,7740.0,2172.0
45,swiss,,3486.0
46,taiwan,,855.0
47,thailand,963.0,530.0
48,turkey,431.0,2593.0
49,ukraine,,6680.0
50,united arab emirates,45635.0,132.0
51,united kingdom,790.0,678.0
52,united states,137702.0,97988.0
53,venezuela,,144.0
54,vietnam,,2251.0
