,Nb_attack,type_attaque
0,65130,unknown
1,57592,smtp
2,32689,telnet
3,15805,http-alt
4,5607,ms-wbt-server
5,5347,rfb
6,4145,microsoft-ds
7,4111,xsan-filesystem
8,2724,netis-router
9,2351,ntp
10,1811,ssh
11,1783,mysql
12,1596,netbios-dgm
13,1567,http
14,1185,ms-sql-s
15,1126,db-lsp-disc
16,1034,https
17,625,netbios-ns
18,608,sentinelsrm
19,583,tcpmux
20,529,iso-tsap
21,487,ssdp
22,475,ftp
23,373,cbt
24,357,malware-proxy
25,296,domain
26,281,bitforestsrv
27,281,radmin-port
28,275,cisco-sccp
29,230,kerberos
30,210,sip
31,208,snpp
32,202,mit-dov
33,196,rtsp
34,196,distinct
35,191,cwmp
36,189,autodesk-nlm
37,185,ndl-aas
38,179,radan-http
39,170,paycash-online
40,163,netbios-ssn
41,158,igmpv3lite
42,145,nnsp
43,127,cbserver
44,123,epmap
45,117,dn6-nlm-aud
46,116,pptp
47,114,vcom-tunnel
48,113,EtherNet/IP-1
49,101,x11
50,100,pdl-datastream
51,99,ddi-udp-2
52,99,ctdb
53,98,sunproxyadmin
54,97,ircu
55,96,doom
56,96,savant
57,95,unify
58,93,gnunet
59,89,npp
60,87,ms-streaming
61,87,trisoap
62,87,coap
63,83,aero
64,82,memcache
65,82,qsnet-assist
66,77,bfd-control
67,75,ddi-udp-1
68,75,nv-video
69,70,rtip
70,68,listmgr-port
71,60,wsm-server
72,53,d-s-n
73,51,distinct32
74,49,d2k-datamover1
75,38,ibm-db2
76,18,commplex-link
